panel,candidate_id,round_id,prediction,observed,uncertainty_std,absolute_error,nominal_coverage,empirical_coverage,interval_width,coverage_lower,coverage_upper,binary_outcome,signed_error
viability_prediction,retest_v2_6fb2fa9dc5d5,ROUND_007,57.35519035795547,49.370000000000005,0.976564839353124,7.985190357955467,,,3.828134170264246,,,,7.985190357955467
viability_prediction,retest_v2_e579d58c9088,ROUND_007,8.199635037081883,13.4225,0.9992085075820124,5.222864962918116,,,3.9168973497214887,,,,-5.222864962918116
viability_prediction,rescue_000002,ROUND_007,24.045745669093986,24.2275,7.8081176210390115,0.1817543309060134,,,30.607821074472923,,,,-0.18175433090601345
viability_prediction,rescue_000005,ROUND_007,16.3855151477282,21.47,5.704083126348067,5.0844848522718,,,22.36000585528442,,,,-5.0844848522718
viability_prediction,cand_000497,ROUND_007,72.85715982015662,48.9975,5.9533368640388895,23.859659820156622,,,23.337080507032447,,,,23.859659820156622
viability_prediction,cand_000249,ROUND_007,53.46533855803599,50.095,25.010699673369164,3.3703385580359893,,,98.04194271960712,,,,3.3703385580359893
viability_prediction,cand_000331,ROUND_007,63.3870256023835,57.5075,11.763423399579231,5.879525602383502,,,46.11261972635059,,,,5.879525602383502
viability_prediction,cand_001166,ROUND_007,55.29184909143825,12.6675,25.11907820259103,42.62434909143825,,,98.46678655415684,,,,42.62434909143825
viability_prediction,cand_000813,ROUND_007,55.2919621749409,8.127500000000001,25.11907820264258,47.164462174940894,,,98.46678655435892,,,,47.164462174940894
viability_prediction,cand_001453,ROUND_007,55.291873173485136,13.4975,25.119078202614,41.79437317348514,,,98.46678655424687,,,,41.794373173485134
viability_prediction,cand_001508,ROUND_007,55.27171453577056,21.485,25.119074167629854,33.786714535770564,,,98.46677073710903,,,,33.786714535770564
viability_prediction,cand_001571,ROUND_007,55.2919621749409,5.9925,25.11907820264258,49.2994621749409,,,98.46678655435892,,,,49.2994621749409
coverage,,FORMAL_COHORT,,,,,0.5,0.25,20.6630857909978,0.08894003962896138,0.53231033912066,,
coverage,,FORMAL_COHORT,,,,,0.68,0.3333333333333333,30.465353328680695,0.13811783989736134,0.609382412602386,,
coverage,,FORMAL_COHORT,,,,,0.8,0.3333333333333333,39.260507571445466,0.13811783989736134,0.609382412602386,,
coverage,,FORMAL_COHORT,,,,,0.9,0.4166666666666667,50.390315935048,0.19325746190524656,0.6804926643446272,,
coverage,,FORMAL_COHORT,,,,,0.95,0.6666666666666666,60.04376485787003,0.3906175873976139,0.8618821601026385,,
intact_probability,retest_v2_6fb2fa9dc5d5,ROUND_007,0.8688306842996806,,,,,,,,,1.0,
intact_probability,retest_v2_e579d58c9088,ROUND_007,0.7384969017380637,,,,,,,,,1.0,
intact_probability,rescue_000002,ROUND_007,0.6931266866376704,,,,,,,,,1.0,
intact_probability,rescue_000005,ROUND_007,0.7836229465914112,,,,,,,,,1.0,
intact_probability,cand_000497,ROUND_007,0.7509659483015739,,,,,,,,,1.0,
intact_probability,cand_000249,ROUND_007,0.3254862379675461,,,,,,,,,1.0,
intact_probability,cand_000331,ROUND_007,0.9500046496612016,,,,,,,,,1.0,
intact_probability,cand_001166,ROUND_007,0.9649598202213122,,,,,,,,,1.0,
intact_probability,cand_000813,ROUND_007,0.9999972835517202,,,,,,,,,1.0,
intact_probability,cand_001453,ROUND_007,0.614276116447616,,,,,,,,,1.0,
intact_probability,cand_001508,ROUND_007,0.9822714060297344,,,,,,,,,1.0,
intact_probability,cand_001571,ROUND_007,0.9999949879202248,,,,,,,,,1.0,
